                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0695,                0.59971,                 1.1056,                0.96367,                0.94082,                0.96878,                0.69682,                 1.0607,                0.47309,                 1.0975,               0.003268,               0.003268,               0.003268
                     36,                 1.0547,                0.59738,                 1.1088,                0.96436,                 0.9384,                 0.9686,                0.69159,                 1.0604,                0.47805,                 1.0994,                0.00307,                0.00307,                0.00307
                     37,                 1.0491,                0.58915,                 1.1058,                0.95317,                0.95398,                0.97359,                 0.7076,                 1.0469,                0.46678,                 1.0936,               0.002872,               0.002872,               0.002872
                     38,                 1.0488,                0.58009,                 1.0946,                0.95865,                0.94263,                0.97205,                 0.7088,                 1.0415,                0.46653,                 1.0854,               0.002674,               0.002674,               0.002674
                     39,                 1.0306,                0.57325,                 1.0864,                0.96248,                0.94906,                0.97452,                0.72003,                 1.0222,                0.46059,                  1.078,               0.002476,               0.002476,               0.002476
                     40,                0.97145,                0.45977,                 1.0507,                0.96176,                0.94701,                0.97177,                0.71106,                 1.0361,                0.46689,                 1.0778,               0.002278,               0.002278,               0.002278
                     41,                0.96136,                0.44773,                 1.0537,                0.96336,                0.95009,                0.97163,                 0.7113,                 1.0355,                0.45841,                 1.0816,                0.00208,                0.00208,                0.00208
                     42,                0.94597,                 0.4345,                 1.0386,                0.96676,                0.94304,                0.97185,                0.71405,                 1.0396,                0.45484,                 1.0816,               0.001882,               0.001882,               0.001882
                     43,                0.92638,                0.42815,                  1.032,                0.96519,                 0.9553,                0.97387,                0.71879,                 1.0163,                 0.4492,                 1.0766,               0.001684,               0.001684,               0.001684
                     44,                0.91975,                0.41702,                 1.0275,                0.96309,                0.95256,                0.97444,                0.71964,                 1.0238,                0.44428,                 1.0773,               0.001486,               0.001486,               0.001486
                     45,                0.90435,                0.41082,                  1.016,                 0.9644,                0.95548,                 0.9723,                 0.7234,                 1.0043,                0.43757,                 1.0624,               0.001288,               0.001288,               0.001288
                     46,                0.89545,                0.40463,                  1.014,                0.96743,                0.95365,                0.97521,                0.72766,                 1.0051,                0.43489,                 1.0652,                0.00109,                0.00109,                0.00109
                     47,                0.88871,                0.39938,                 1.0114,                0.96601,                0.94938,                0.97384,                0.73386,                0.98845,                0.42921,                 1.0611,               0.000892,               0.000892,               0.000892
                     48,                0.87428,                0.38845,                   1.01,                0.96539,                0.94922,                0.97273,                0.72975,                0.99336,                0.42606,                 1.0621,               0.000694,               0.000694,               0.000694
                     49,                0.86367,                0.38087,                0.99726,                0.96545,                0.95328,                0.97352,                0.73287,                 0.9853,                0.42486,                  1.058,               0.000496,               0.000496,               0.000496
